跳水明星

一、中国跳水世界冠军一览表
　
时间 姓名 单位 性别 项目 比赛名称 地点
1993 王天凌 上海 男 男子团体 第八届世界杯跳水赛 北京
1993 王天凌 上海 男 混合团体 第八届世界杯跳水赛 北京
1994 陈丽霞 广东 女 一米跳板 第七届世界游泳锦标赛 意大利
1994 谈舒萍 广西 女 三米跳板 第七届世界游泳锦标赛 意大利
1994 伏明霞 湖北 女 十米跳台 第七届世界游泳锦标赛 意大利
1994 余卓成 广东 男 三米跳板 第七届世界游泳锦标赛 意大利
1995 伏明霞 湖北 女 三米跳板 第九届世界杯跳水赛 美国
1995 伏明霞 湖北 女 女子团体 第九届世界杯跳水赛 美国
1995 伏明霞 湖北 女 混合团体 第九届世界杯跳水赛 美国
1995 池彬 河北 女 十米跳台 第九届世界杯跳水赛 美国
1995 池彬 河北 女 女子团体 第九届世界杯跳水赛 美国
1995 池彬 河北 女 混合团体 第九届世界杯跳水赛 美国
1995 郭晶晶 河北 女 跳台双人 第九届世界杯跳水赛 美国
1995 郭晶晶 河北 女 跳板双人 第九届世界杯跳水赛 美国
1995 郭晶晶 河北 女 女子团体 第九届世界杯跳水赛 美国
1995 郭晶晶 河北 女 混合团体 第九届世界杯跳水赛 美国
1995 王睿 北京 女 跳台双人 第九届世界杯跳水赛 美国
1995 王睿 北京 女 女子团体 第九届世界杯跳水赛 美国
1995 王睿 北京 女 混合团体 第九届世界杯跳水赛 美国
1995 邓玲 广州 女 跳板双人 第九届世界杯跳水赛 美国
1995 邓玲 广州 女 女子团体 第九届世界杯跳水赛 美国
1995 邓玲 广州 女 混合团体 第九届世界杯跳水赛 美国
1995 谈舒萍 广西 女 女子团体 第九届世界杯跳水赛 美国
1995 谈舒萍 广西 女 混合团体 第九届世界杯跳水赛 美国
1995 杨兰 江苏 女 女子团体 第九届世界杯跳水赛 美国
1995 杨兰 江苏 女 混合团体 第九届世界杯跳水赛 美国
1995 余卓成 广东 男 一米跳板 第九届世界杯跳水赛 美国
1995 余卓成 广东 男 男子团体 第九届世界杯跳水赛 美国
1995 余卓成 广东 男 混合团体 第九届世界杯跳水赛 美国
1995 孙淑伟 广东 男 十米跳台 第九届世界杯跳水赛 美国
1995 孙淑伟 广东 男 男子团体 第九届世界杯跳水赛 美国
1995 孙淑伟 广东 男 混合团体 第九届世界杯跳水赛 美国
1995 田亮 陕西 男 跳台双人 第九届世界杯跳水赛 美国
1995 田亮 陕西 男 男子团体 第九届世界杯跳水赛 美国
1995 田亮 陕西 男 混合团体 第九届世界杯跳水赛 美国
1995 肖海亮 湖北 男 跳台双人 第九届世界杯跳水赛 美国
1995 肖海亮 湖北 男 男子团体 第九届世界杯跳水赛 美国
1995 肖海亮 湖北 男 混合团体 第九届世界杯跳水赛 美国
1995 熊倪 湖南 男 男子团体 第九届世界杯跳水赛 美国
1995 熊倪 湖南 男 混合团体 第九届世界杯跳水赛 美国
1995 刘奔 四川 男 男子团体 第九届世界杯跳水赛 美国
1995 刘奔 四川 男 混合团体 第九届世界杯跳水赛 美国
1995 周义霖 四川 男 男子团体 第九届世界杯跳水赛 美国
1995 周义霖 四川 男 混合团体 第九届世界杯跳水赛 美国
1996 熊倪 湖南 男 三米跳板 第二十六届奥运会 美国
1996 伏明霞 湖北 女 三米跳板 第二十六届奥运会 美国
1996 伏明霞 湖北 女 十米跳台 第二十六届奥运会 美国
1997 刘奔 四川 男 一米跳板 第十届世界杯跳水赛 墨西哥
1997 刘奔 四川 男 男子团体 第十届世界杯跳水赛 墨西哥
1997 刘奔 四川 男 混合团体 第十届世界杯跳水赛 墨西哥
1997 徐浩 江苏 男 跳板双人 第十届世界杯跳水赛 墨西哥
1997 徐浩 江苏 男 男子团体 第十届世界杯跳水赛 墨西哥
1997 徐浩 江苏 男 混合团体 第十届世界杯跳水赛 墨西哥
1997 贡明 北京 男 跳板双人 第十届世界杯跳水赛 墨西哥
1997 贡明 北京 男 男子团体 第十届世界杯跳水赛 墨西哥
1997 贡明 北京 男 混合团体 第十届世界杯跳水赛 墨西哥
1997 黄强 江苏 男 跳台双人 第十届世界杯跳水赛 墨西哥
1997 黄强 江苏 男 男子团体 第十届世界杯跳水赛 墨西哥
1997 黄强 江苏 男 混合团体 第十届世界杯跳水赛 墨西哥
1997 李成伟 福建 男 跳台双人 第十届世界杯跳水赛 墨西哥
1997 李成伟 福建 男 男子团体 第十届世界杯跳水赛 墨西哥
1997 李成伟 福建 男 混合团体 第十届世界杯跳水赛 墨西哥
1997 周义霖 四川 女 男子团体 第十届世界杯跳水赛 墨西哥
1997 周义霖 四川 女 混合团体 第十届世界杯跳水赛 墨西哥
1997 张晶 解放军 女 一米跳板 第十届世界杯跳水赛 墨西哥
1997 张晶 解放军 女 女子团体 第十届世界杯跳水赛 墨西哥
1997 张晶 解放军 女 混合团体 第十届世界杯跳水赛 墨西哥
1997 张晶 解放军 女 跳板双人 第十届世界杯跳水赛 墨西哥
1997 石磊 江苏 女 跳板双人 第十届世界杯跳水赛 墨西哥
1997 石磊 江苏 女 女子团体 第十届世界杯跳水赛 墨西哥
1997 石磊 江苏 女 混合团体 第十届世界杯跳水赛 墨西哥
1997 池彬 河北 女 跳台双人 第十届世界杯跳水赛 墨西哥
1997 池彬 河北 女 女子团体 第十届世界杯跳水赛 墨西哥
1997 池彬 河北 女 混合团体 第十届世界杯跳水赛 墨西哥
1997 王睿 北京 女 跳台双人 第十届世界杯跳水赛 墨西哥
1997 王睿 北京 女 女子团体 第十届世界杯跳水赛 墨西哥
1997 王睿 北京 女 混合团体 第十届世界杯跳水赛 墨西哥
1997 谈舒萍 广西 女 女子团体 第十届世界杯跳水赛 墨西哥
1997 谈舒萍 广西 女 混合团体 第十届世界杯跳水赛 墨西哥
1998 余卓成 广东 男 一米跳板 第八届世界游泳锦标赛 澳大利亚
1998 余卓成 广东 男 跳板双人 第八届世界游泳锦标赛 澳大利亚
1998 徐浩 江苏 男 跳板双人 第八届世界游泳锦标赛 澳大利亚
